Compile Unit,Binary size (Bytes),v16,v201,Module
Model/Variables/VariableService.cpp,5000, ,x,B - Provisioning - Variables
Operations/Authorize.cpp,1060,x,x,C - Authorization
Operations/BootNotification.cpp,1404,x,x,B - Provisioning
Operations/CancelReservation.cpp,368,x, ,H - Reservation
Operations/ChangeAvailability.cpp,948,x, ,G - Availability
Operations/ChangeConfiguration.cpp,860,x, ,Configuration
Operations/ClearCache.cpp,440,x, ,Core
Operations/ClearChargingProfile.cpp,836,x, ,K - SmartCharging
Operations/CustomOperation.cpp,0,x,x,General - RPC framework
Operations/DataTransfer.cpp,520,x, ,Core
Operations/DeleteCertificate.cpp,716,x,x,M - Certificate Management
Operations/DiagnosticsStatusNotification.cpp,220,x, ,Firmware Management
Operations/FirmwareStatusNotification.cpp,244,x, ,Firmware Management
Operations/GetBaseReport.cpp,544, ,x,B - Provisioning - Variables
Operations/GetCompositeSchedule.cpp,1040,x, ,K - SmartCharging
Operations/GetConfiguration.cpp,2688,x,x,Configuration
Operations/GetDiagnostics.cpp,652,x, ,Firmware Management
Operations/GetInstalledCertificateIds.cpp,1596,x, ,K - SmartCharging
Operations/GetLocalListVersion.cpp,268,x, ,D - Local Authorization List Management
Operations/GetVariables.cpp,2356, ,x,B - Provisioning - Variables
Operations/Heartbeat.cpp,780,x,x,G - Availability
Operations/InstallCertificate.cpp,536,x,x,M - Certificate Management
Operations/MeterValues.cpp,660,x, ,J - MeterValues
Operations/NotifyReport.cpp,2112, ,x,B - Provisioning - Variables
Operations/RemoteStartTransaction.cpp,1192,x, ,E - Transactions
Operations/RemoteStopTransaction.cpp,408,x, ,E - Transactions
Operations/RequestStartTransaction.cpp,520, ,x,E - Transactions
Operations/RequestStopTransaction.cpp,396, ,x,E - Transactions
Operations/ReserveNow.cpp,1160,x, ,H - Reservation
Operations/Reset.cpp,860,x,x,B - Provisioning
Operations/SendLocalList.cpp,560,x, ,D - Local Authorization List Management
Operations/SetChargingProfile.cpp,732,x, ,K - SmartCharging
Operations/SetVariables.cpp,1916, ,x,B - Provisioning - Variables
Operations/StartTransaction.cpp,1292,x, ,E - Transactions
Operations/StatusNotification.cpp,1324,x,x,G - Availability
Operations/StopTransaction.cpp,1848,x, ,E - Transactions
Operations/TransactionEvent.cpp,2528, ,x,E - Transactions
Operations/TriggerMessage.cpp,844,x, ,TriggerMessage
Operations/UnlockConnector.cpp,172,x, ,Core
Operations/UpdateFirmware.cpp,364,x, ,Firmware Management
MicroOcpp_c.cpp,1796,x,x,General - API
