compileunits,vmsize,filesize
lib/MicroOcpp/src/MicroOcpp.cpp,14368,1284558
[section .debug_loc],0,568835
lib/MicroOcpp/src/MicroOcpp/Model/ConnectorBase/Connector.cpp,12256,515773
[section .xt.prop],0,406188
lib/MicroOcpp/src/MicroOcpp/Model/Metering/MeteringConnector.cpp,4312,389301
lib/MicroOcpp/src/MicroOcpp/Model/Model.cpp,1872,386632
lib/MicroOcpp/src/MicroOcpp/Model/Diagnostics/DiagnosticsService.cpp,5825,340825
lib/MicroOcpp/src/MicroOcpp/Model/SmartCharging/SmartChargingService.cpp,6932,334857
lib/MicroOcpp/src/MicroOcpp/Model/Metering/MeterValue.cpp,3276,332855
lib/MicroOcpp/src/MicroOcpp/Operations/StopTransaction.cpp,1848,317761
lib/MicroOcpp/src/MicroOcpp/Core/Configuration.cpp,3104,315309
lib/MicroOcpp/src/MicroOcpp/Model/Metering/MeteringService.cpp,1848,297773
lib/MicroOcpp/src/MicroOcpp/Model/Boot/BootService.cpp,3804,291112
lib/MicroOcpp/src/MicroOcpp/Core/RequestQueue.cpp,6676,287181
lib/MicroOcpp/src/MicroOcpp_c.cpp,1916,282887
lib/MicroOcpp/src/MicroOcpp/Model/FirmwareManagement/FirmwareService.cpp,4060,279268
lib/MicroOcpp/src/MicroOcpp/Model/Metering/MeterStore.cpp,2900,278439
lib/MicroOcpp/src/MicroOcpp/Core/ConfigurationContainerFlash.cpp,4192,276800
lib/MicroOcpp/src/MicroOcpp/Operations/StartTransaction.cpp,1352,270634
lib/MicroOcpp/src/MicroOcpp/Operations/GetConfiguration.cpp,2680,253829
lib/MicroOcpp/src/MicroOcpp/Core/Request.cpp,3400,248850
src/main.cpp,940,242830
lib/MicroOcpp/src/MicroOcpp/Model/Transactions/TransactionStore.cpp,2352,239410
lib/MicroOcpp/src/MicroOcpp/Operations/TriggerMessage.cpp,836,235900
lib/MicroOcpp/src/MicroOcpp/Model/Authorization/AuthorizationList.cpp,3732,233735
lib/MicroOcpp/src/MicroOcpp/Model/SmartCharging/SmartChargingModel.cpp,3804,226436
/builds/idf/crosstool-NG/.build/xtensa-esp32-elf/src/newlib/newlib/libc/stdio/vfprintf.c,46880,223109
lib/MicroOcpp/src/MicroOcpp/Model/Authorization/AuthorizationService.cpp,1704,221247
lib/MicroOcpp/src/MicroOcpp/Operations/GetCompositeSchedule.cpp,1076,212614
lib/MicroOcpp/src/MicroOcpp/Operations/BootNotification.cpp,1288,201900
lib/MicroOcpp/src/MicroOcpp/Operations/RemoteStartTransaction.cpp,1180,198359
lib/MicroOcpp/src/MicroOcpp/Core/FilesystemUtils.cpp,4592,196065
lib/MicroOcpp/src/MicroOcpp/Operations/MeterValues.cpp,660,193143
lib/MicroOcpp/src/MicroOcpp/Model/Reservation/ReservationService.cpp,1384,192969
lib/MicroOcpp/src/MicroOcpp/Core/FtpMbedTLS.cpp,5140,192046
lib/MicroOcpp/src/MicroOcpp/Model/Certificates/CertificateMbedTLS.cpp,2100,188163
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/components/esp_littlefs/src/littlefs/lfs.c,17525,185269
lib/MicroOcpp/src/MicroOcpp/Model/Transactions/TransactionDeserialize.cpp,3048,184996
lib/MicroOcpp/src/MicroOcpp/Model/ConnectorBase/ConnectorsCommon.cpp,2136,184685
[section .debug_frame],0,179540
lib/MicroOcpp/src/MicroOcpp/Operations/SetChargingProfile.cpp,728,176623
lib/MicroOcpp/src/MicroOcpp/Operations/ReserveNow.cpp,1156,174954
lib/MicroOcpp/src/MicroOcpp/Operations/GetInstalledCertificateIds.cpp,1588,173282
lib/MicroOcpp/src/MicroOcpp/Model/Reset/ResetService.cpp,984,163812
lib/MicroOcpp/src/MicroOcpp/Core/ConfigurationContainer.cpp,864,161561
lib/MicroOcpp/src/MicroOcpp/Core/OperationRegistry.cpp,1616,161013
lib/MicroOcpp/src/MicroOcpp/Operations/Authorize.cpp,640,160741
/builds/idf/crosstool-NG/.build/xtensa-esp32-elf/src/gcc/libstdc++-v3/src/c++11/string-inst.cc,1608,160122
lib/MicroOcpp/src/MicroOcpp/Operations/UnlockConnector.cpp,616,152209
lib/MicroOcpp/src/MicroOcpp/Core/Context.cpp,380,149274
lib/MicroOcpp/src/MicroOcpp/Model/Heartbeat/HeartbeatService.cpp,420,149056
lib/MicroOcpp/src/MicroOcpp/Model/Certificates/CertificateService.cpp,468,147376
lib/MicroOcpp/src/MicroOcpp/Core/FilesystemAdapter.cpp,1196,146259
lib/MicroOcpp/src/MicroOcpp/Operations/ChangeAvailability.cpp,496,146017
lib/MicroOcpp/src/MicroOcpp/Operations/RemoteStopTransaction.cpp,404,145740
lib/MicroOcpp/src/MicroOcpp/Operations/Heartbeat.cpp,780,141277
lib/MicroOcpp/src/MicroOcpp/Operations/GetDiagnostics.cpp,640,139229
lib/MicroOcpp/src/MicroOcpp/Operations/Reset.cpp,628,136893
lib/MicroOcpp/src/MicroOcpp/Operations/GetLocalListVersion.cpp,268,136754
lib/MicroOcpp/src/MicroOcpp/Operations/ClearChargingProfile.cpp,824,136040
/home/runner/.platformio/packages/framework-arduinoespressif32/libraries/FS/src/vfs_api.cpp,4794,127900
[section .flash.rodata],125420,125420
/builds/idf/crosstool-NG/.build/xtensa-esp32-elf/src/gcc/libstdc++-v3/src/c++11/cow-string-inst.cc,340,122770
lib/MicroOcpp/src/MicroOcpp/Operations/SendLocalList.cpp,552,122767
lib/MicroOcpp/src/MicroOcpp/Model/Reservation/Reservation.cpp,1072,121801
lib/MicroOcpp/src/MicroOcpp/Model/Authorization/AuthorizationData.cpp,1320,120815
lib/MicroOcpp/src/MicroOcpp/Model/Metering/SampledValue.cpp,780,118415
lib/MicroOcpp/src/MicroOcpp/Operations/DataTransfer.cpp,516,116815
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/mbedtls/mbedtls/library/ssl_tls.c,9168,111065
lib/MicroOcpp/src/MicroOcpp/Operations/UpdateFirmware.cpp,356,110834
lib/MicroOcpp/src/MicroOcpp/Operations/CancelReservation.cpp,364,107681
lib/MicroOcpp/src/MicroOcpp/Operations/StatusNotification.cpp,892,107592
[section .shstrtab],0,105145
lib/MicroOcpp/src/MicroOcpp/Operations/DeleteCertificate.cpp,700,104195
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/freertos/tasks.c,7709,100712
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/driver/uart.c,5244,100669
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/mbedtls/mbedtls/library/ssl_msg.c,9668,99416
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/nvs_flash/src/nvs_api.cpp,164,98539
lib/MicroOcpp/src/MicroOcpp/Operations/ChangeConfiguration.cpp,836,98317
lib/MicroOcpp/src/MicroOcpp/Operations/InstallCertificate.cpp,516,97579
lib/MicroOcpp/src/MicroOcpp/Operations/ClearCache.cpp,432,96399
lib/MicroOcpp/src/MicroOcpp/Model/Certificates/Certificate_c.cpp,0,95294
/builds/idf/crosstool-NG/.build/xtensa-esp32-elf/src/newlib/newlib/libc/stdio/vfscanf.c,17936,92137
/home/runner/.platformio/packages/framework-arduinoespressif32/cores/esp32/WString.cpp,1556,89093
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/lwip/lwip/src/api/sockets.c,2098,87573
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/nvs_flash/src/nvs_storage.cpp,1104,86684
lib/MicroOcpp/src/MicroOcpp/Operations/CustomOperation.cpp,0,86548
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/heap/heap_tlsf.c,3556,86232
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/mbedtls/mbedtls/library/bignum.c,7520,85368
lib/MicroOcpp/src/MicroOcpp/Core/ConfigurationKeyValue.cpp,708,84128
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/components/esp_littlefs/src/esp_littlefs.c,6757,82352
lib/MicroOcpp/src/MicroOcpp/Operations/FirmwareStatusNotification.cpp,244,81963
lib/MicroOcpp/src/MicroOcpp/Operations/DiagnosticsStatusNotification.cpp,220,81873
lib/MicroOcpp/src/MicroOcpp/Core/Memory.cpp,156,81011
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/mbedtls/mbedtls/library/ecp.c,7417,80959
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/mbedtls/mbedtls/library/ssl_cli.c,6992,78697
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/mbedtls/mbedtls/library/ssl_srv.c,7812,78064
[section .debug_ranges],0,76696
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/driver/gpio.c,2652,75953
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/mbedtls/mbedtls/library/x509_crt.c,5532,75375
lib/MicroOcpp/src/MicroOcpp/Model/Transactions/Transaction.cpp,156,75093
lib/MicroOcpp/src/MicroOcpp/Core/Time.cpp,2472,74096
/home/runner/.platformio/packages/framework-arduinoespressif32/cores/esp32/HardwareSerial.cpp,899,71456
/home/runner/.platformio/packages/framework-arduinoespressif32/libraries/FS/src/FS.cpp,612,69957
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/mbedtls/mbedtls/library/rsa.c,5992,69502
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/spi_flash/esp_flash_api.c,2551,69313
/home/runner/work/esp32-arduino-lib-builder/esp32-arduino-lib-builder/esp-idf/components/nvs_flash/src/nvs_page.cpp,3240,68423
/home/runner/.platformio/packages/framework-arduinoespressif32/libraries/LittleFS/src/LittleFS.cpp,797,67722
lib/MicroOcpp/src/MicroOcpp/Core/Operation.cpp,104,66914
/home/runner/.platformio/packages/framework-arduinoespressif32/cores/esp32/Esp.cpp,95,66685
